indicator,value,unit,source
population_2024,530680,,Edinburgh by Numbers 2025
population_2014,485270,,Edinburgh by Numbers 2025
population_growth_10y_pct,9.4,,Edinburgh by Numbers 2025
population_density_per_km2_2024,2015,,Edinburgh by Numbers 2025
pop_projection_2047,585838,,Edinburgh by Numbers 2025
over_75_growth_to_2047_pct,63.5,,Edinburgh by Numbers 2025
dependency_rate_2047_pct,46.6,,Edinburgh by Numbers 2025
life_expectancy_women,82.0,,Edinburgh by Numbers 2025
life_expectancy_men,77.8,,Edinburgh by Numbers 2025
self_rated_health_good_pct,81,,Edinburgh by Numbers 2025
activity_levels_pct,74,,Edinburgh by Numbers 2025
relative_poverty_pct,17,,Edinburgh by Numbers 2025
employment_rate_pct,83.2,,Edinburgh by Numbers 2025
unemployment_rate_model_pct,2.5,,Edinburgh by Numbers 2025
median_hourly_pay_gbp,20.49,,Edinburgh by Numbers 2025
finance_insurance_jobs_pct,11.3,,Edinburgh by Numbers 2025
finance_insurance_gva_gbp_bn,8.8,,Edinburgh by Numbers 2025
high_skilled_occupations_pct,42,,Edinburgh by Numbers 2025
gva_per_capita_gbp,65516,,Edinburgh by Numbers 2025
business_survival_5y_pct,39.6,,Edinburgh by Numbers 2025
staying_visits_2024_m,5.0,,Edinburgh by Numbers 2025
visitor_spend_2024_gbp_bn,2.57,,Edinburgh by Numbers 2025
hotel_occupancy_pct,85.4,,Edinburgh by Numbers 2025
festival_attendance_m,3.91,,Edinburgh by Numbers 2025
pupils_students_2024_25,160000,,Edinburgh by Numbers 2025
university_enrolment,72365,,Edinburgh by Numbers 2025
school_population,60657,,Edinburgh by Numbers 2025
degree_level_workforce_pct,73.2,,Edinburgh by Numbers 2025
ghg_emissions_fall_2013_2023_pct,41.4,,Edinburgh by Numbers 2025
green_flag_parks,36,,Edinburgh by Numbers 2025
green_space_5min_walk_pct,76,,Edinburgh by Numbers 2025
avg_property_price_sep_2025_gbp,294488,,Edinburgh by Numbers 2025
property_price_yoy_pct,4.2,,Edinburgh by Numbers 2025
owner_occupied_pct,59,,Edinburgh by Numbers 2025
private_rent_pct,25,,Edinburgh by Numbers 2025
social_rent_pct,16,,Edinburgh by Numbers 2025
property_sales_2024,11341,,Edinburgh by Numbers 2025
property_sales_2023,9820,,Edinburgh by Numbers 2025
airport_passengers_2024_m,15.8,,Edinburgh by Numbers 2025
rail_passengers_2024_25_m,28.3,,Edinburgh by Numbers 2025
walk_or_pt_trips_pct,60,,Edinburgh by Numbers 2025
public_transport_satisfaction_pct,86,,Edinburgh by Numbers 2025
